Name,Category,Status,Error
_committed_405544018604303942,File,Deleted,
_committed_1859451252049587424,File,Deleted,
_started_785047658492831038,File,Deleted,
_started_405544018604303942,File,Deleted,
_started_8705550635609485341,File,Deleted,
part-00000-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-800-1-c000.snappy.parquet,File,Deleted,
_committed_5468031370072108378,File,Deleted,
_started_3572855190004967696,File,Deleted,
_committed_8705550635609485341,File,Deleted,
part-00001-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-801-1-c000.snappy.parquet,File,Deleted,
_committed_3572855190004967696,File,Deleted,
_committed_vacuum4052237108970245374,File,Deleted,
part-00002-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-802-1-c000.snappy.parquet,File,Deleted,
part-00003-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-803-1-c000.snappy.parquet,File,Deleted,
_committed_2622169322953107487,File,Deleted,
part-00004-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-804-1-c000.snappy.parquet,File,Deleted,
part-00005-tid-405544018604303942-0b61e0ca-f7de-4c20-8936-9b9784f493ac-805-1-c000.snappy.parquet,File,Deleted,
_committed_785047658492831038,File,Deleted,
